louse --synonyms-- cad; cootie; knave;
discovery --synonyms-- analysis; detection; diagnosis;
consciousness --synonyms-- alertness; apprehension; awareness;
frame --synonyms-- body; cage; fabric;
absence --synonyms-- absenteeism; AWOL; cut;
engagement --synonyms-- commitment; obligation; pact;
compere --synonyms-- emcee; moderator; ringmaster;
hat --synonyms-- fedora; headgear; helmet;
bereave --synonyms-- dispossess; divest; leave;
careful --synonyms-- accurate; attentive; choosy;
noxious --synonyms-- corrupting; destructive; fetid;
expand --synonyms-- bolster; broaden; develop;
sedative --synonyms-- anodyne; calming; lenitive;
yap --synonyms-- yelp; bay; woof;
inventory --synonyms-- backlog; fund; index;
futile --synonyms-- fruitless; hollow; impractical;
palate --synonyms-- bias; partiality; penchant;
jog --synonyms-- bounce; shake; shove;
cliche --synonyms-- adage; banality; bromide;
brow --synonyms-- eyebrow; countenance; face;
non-stop --synonyms-- ceaseless; constant; continual;
life --synonyms-- activity; growth; heart;
colossal --synonyms-- enormous; gargantuan; gigantic;
pouch --synonyms-- bag; pocket; purse;
campus --synonyms-- dorm; square; grounds;
liable --synonyms-- accountable; amenable; bound;
auto --synonyms-- car; passenger car; vehicle;
nightclub --synonyms-- bar; bistro; cabaret;
abnegation --synonyms-- abandonment; abstinence; forbearance;
sworn --synonyms-- affirmed; bound; confirmed;
bent --synonyms-- angled; arced; arched;
casino --synonyms-- bank; club; clubhouse;
building --synonyms-- architecture; construction; home;
grape --synonyms-- wine; collection; epoch;
navy --synonyms-- argosy; armada; flotilla;
stern --synonyms-- flinty; grim; hard-nosed;
lace --synonyms-- mesh; ornament; banding;
trim --synonyms-- compact; dapper; snug;
tragedy --synonyms-- adversity; calamity; catastrophe;
mom --synonyms-- grandmother; mommy; parent;
placid --synonyms-- easygoing; even-tempered; gentle;
gray --synonyms-- drab; dusty; grey;
happy --synonyms-- cheerful; contented; delighted;
gather --synonyms-- assemble; choose; cluster;
trait --synonyms-- attribute; character; feature;
handful --synonyms-- few; scattering; smattering;
obstruct --synonyms-- block; curb; cut off;
plough --synonyms-- dig; dress; farm;
unrest --synonyms-- anarchy; anxiety; confusion;
inept --synonyms-- awkward; bumbling; incompetent;
download --synonyms-- load; log in; compute;
insular --synonyms-- circumscribed; isolated; parochial;
insecurity --synonyms-- self-doubt; uncertainty; doubt;
impediment --synonyms-- barrier; bottleneck; burden;
venue --synonyms-- locale; place; setting;
glare --synonyms-- flame; glow; blaze;
dissipate --synonyms-- deplete; use up; blow;
disconnect --synonyms-- cut off; detach; disengage;
wrest --synonyms-- exact; extort; extract;
cathedral --synonyms-- basilica; chancel; minster;
rhinoceros --synonyms-- elephant; hippopotamus; mammoth;
shaggy --synonyms-- furry; long-haired; hirsute;
reward --synonyms-- accolade; award; benefit;
greater --synonyms-- boss; cooler; higher;
goddess --synonyms-- divinity; idol; immortal;
separation --synonyms-- departure; disengagement; dissolution;
overdo --synonyms-- exaggerate; overestimate; overplay;
critical --synonyms-- demanding; analytical; belittling;
is --synonyms-- breathe; do; last;
summit --synonyms-- acme; apex; apogee;
dressing --synonyms-- filling; stuffing; forcemeat;
globe --synonyms-- map; planet; world;
loyal --synonyms-- ardent; devoted; dutiful;
matt --synonyms-- NO SYNONYMS;
shrug --synonyms-- action; bow; curtsy;
plastic --synonyms-- elastic; molded; bending;
whereas --synonyms-- although; as; because;
steady --synonyms-- constant; durable; regular;
bike --synonyms-- pedal; cycle; bike;
kid --synonyms-- baby; boy; child;
presidential --synonyms-- administrative; dominant; guiding;
predict --synonyms-- anticipate; call; conclude;
pause --synonyms-- breathing space; halt; hesitation;
toward --synonyms-- against; anent; apropos;
antique --synonyms-- ancient; aged; elderly;
easy --synonyms-- accessible; clear; effortless;
anti --synonyms-- antithetical; conflicting; contrary;
punctuation --synonyms-- interval; mark; interval;
reconnect --synonyms-- reopen; restore; resume;
clearing --synonyms-- clearance; expanse; allowance;
semicircle --synonyms-- arc; hemicycle; arc;
probe --synonyms-- examination; exploration; inquest;
rearrange --synonyms-- readjust; reconstruct; reorganize;
anticipation --synonyms-- apprehension; hope; joy;
twinkle --synonyms-- blink; flicker; gleam;
admonish --synonyms-- advise; berate; censure;
clone --synonyms-- reproduction; copy; double;
befriend --synonyms-- advise; patronize; take up with;
lineal --synonyms-- familial; tribal; affiliated;
avid --synonyms-- ardent; devoted; eager;
cleverness --synonyms-- dexterity; flair; gumption;
polite --synonyms-- affable; amiable; attentive;
bloom --synonyms-- blossom; flower; blossoming;
an --synonyms-- one; every; the;
amusing --synonyms-- campy; charming; comical;
daylight --synonyms-- dawn; daytime; sunlight;
cocoa --synonyms-- amber; bay; beige;
inestimable --synonyms-- invaluable; precious; valuable;
trifle --synonyms-- bagatelle; bauble; curio;
announce --synonyms-- call; declare; disclose;
ownership --synonyms-- control; holding; partnership;
indeed --synonyms-- absolutely; certainly; easily;
resource --synonyms-- ability; capability; capital;
task --synonyms-- assignment; burden; business;
display --synonyms-- act; array; demonstration;
crazy --synonyms-- insane; kooky; mad;
prefer --synonyms-- adopt; choose; go for;
kitchen --synonyms-- gallery; canteen; cookery;
knife --synonyms-- bayonet; blade; cutter;
collect --synonyms-- amass; assemble; compile;
disappear --synonyms-- abandon; depart; die;
hill --synonyms-- bluff; cliff; dune;
helmet --synonyms-- armor; hard hat; hat;
transformation --synonyms-- conversion; metamorphosis; renewal;
flower --synonyms-- blossom; herb; perennial;
deduce --synonyms-- deduct; glean; infer;
amnesty --synonyms-- forgiveness; immunity; reprieve;
concrete --synonyms-- detailed; material; objective;
erotic --synonyms-- amorous; bawdy; carnal;
chopped --synonyms-- cleave; cube; divide;
serpent --synonyms-- snake; viper; basilisk;
classics --synonyms-- oeuvre; ana; analects;
homemade --synonyms-- handmade; do-it-yourself; handcrafted;
lantern --synonyms-- beacon; flashlight; kerosene lamp;
dolly --synonyms-- carrier; cart; pushcart;
sexist --synonyms-- bigoted; discriminatory; dogmatic;
breather --synonyms-- lull; respite; break;
whimper --synonyms-- moan; weep; bleat;
obsess --synonyms-- beset; consume; dominate;
redress --synonyms-- amends; atonement; indemnity;
continental --synonyms-- global; multicultural; intercontinental;
screwdriver --synonyms-- NO SYNONYMS;
abridge --synonyms-- abbreviate; curtail; truncate;
unwind --synonyms-- loosen; unfurl; unravel;
windy --synonyms-- blustery; boisterous; brisk;
eradicate --synonyms-- abolish; annihilate; eliminate;
frizz --synonyms-- coil; crimp; curlicue;
playground --synonyms-- park; jungle gym; playing field;
incomplete --synonyms-- deficient; fragmentary; inadequate;
bribe --synonyms-- blackmail; compensation; gift;
flush --synonyms-- even; horizontal; level;
reunion --synonyms-- homecoming; reconciliation; assembly;
dessert --synonyms-- cake; candy; confection;
banana --synonyms-- actor; clown; comic;
outstanding --synonyms-- distinguished; dominant; eminent;
liberal --synonyms-- catholic; humanistic; advanced;
deny --synonyms-- ban; call on; contradict;
flying --synonyms-- aerial; floating; soaring;
flight --synonyms-- arrival; departure; shuttle;
claim --synonyms-- allegation; application; assertion;
slave --synonyms-- captive; bond servant; bondslave;
hook --synonyms-- curve; angle; catch;
best --synonyms-- finest; first; first-rate;
hundred --synonyms-- centenary; centennial; century;
arrears --synonyms-- deficit; liability; obligation;
greeting --synonyms-- hello; nod; ovation;
fisher --synonyms-- trawler; lobsterman; troller;
clock --synonyms-- alarm; timer; chronograph;
consume --synonyms-- absorb; deplete; devour;
pitch --synonyms-- angle; point; cant;
athlete --synonyms-- animal; competitor; contestant;
blocking --synonyms-- adverse circumstance; bar; burden;
slay --synonyms-- assassinate; butcher; destroy;
cracking --synonyms-- collapsing; crumbling; fracturing;
text-message --synonyms-- NO SYNONYMS;
gait --synonyms-- bearing; amble; canter;
genial --synonyms-- affable; amiable; cheerful;
contemplate --synonyms-- aim; consider; envisage;
repose --synonyms-- inactivity; stillness; ease;
flea --synonyms-- ant; beetle; pest;
hover --synonyms-- drift; flicker; flutter;
plunge --synonyms-- descent; dive; fall;
dignify --synonyms-- exalt; magnify; adorn;
kin --synonyms-- affinity; blood; clan;
comedy --synonyms-- farce; fun; humor;
negate --synonyms-- annihilate; belie; cancel out;
basket --synonyms-- box; crate; bassinet;
assure --synonyms-- encourage; persuade; reassure;
brother --synonyms-- relative; twin; kin;
contradiction --synonyms-- conflict; difference; disagreement;
solitary --synonyms-- lone; lonely; singular;
examine --synonyms-- audit; check; check out;
resolution --synonyms-- decision; settlement; verdict;
continent --synonyms-- abstinent; ascetic; celibate;
determine --synonyms-- complete; regulate; resolve;
shake --synonyms-- convulse; disturb; jolt;
encyclopaedia --synonyms-- NO SYNONYMS;
explosive --synonyms-- fiery; frenzied; hazardous;
horribly --synonyms-- disturbingly; shockingly; terribly;
humiliate --synonyms-- confuse; crush; degrade;
conjecture --synonyms-- guesswork; hunch; hypothesis;
fen --synonyms-- bog; mire; moor;
rend --synonyms-- rive; break; divide;
democrat --synonyms-- congressperson; lawmaker; leader;
gigantic --synonyms-- colossal; enormous; gargantuan;
linked --synonyms-- associated; related; allied;
embodiment --synonyms-- apotheosis; archetype; avatar;
swamp --synonyms-- bog; marshland; morass;
grumpy --synonyms-- cantankerous; crotchety; grouchy;
racket --synonyms-- agitation; babel; battle;
arch --synonyms-- accomplished; champion; chief;
paid --synonyms-- compensated; salaried; indemnified;
locker --synonyms-- chest; closet; trunk;
courageous --synonyms-- adventurous; audacious; daring;
construction --synonyms-- development; manufacture; plan;
reference --synonyms-- allusion; hint; innuendo;
sting --synonyms-- bite; hurt; inspire;
incident --synonyms-- circumstance; episode; event;
clerk --synonyms-- agent; auditor; bookkeeper;
refuse --synonyms-- debris; rubbish; trash;
adapt --synonyms-- acclimate; accommodate; accustom;
goodness --synonyms-- decency; friendliness; generosity;
restore --synonyms-- bring back; build up; improve;
talent --synonyms-- art; capability; capacity;
seriously --synonyms-- actively; earnestly; passionately;
comfort --synonyms-- amenity; contentment; convenience;
important --synonyms-- big; critical; crucial;
simple --synonyms-- clean; elementary; plain;
find --synonyms-- treasure trove; acquisition; asset;
vindictive --synonyms-- cruel; malicious; merciless;
transient --synonyms-- ephemeral; fleeting; short-term;
closeness --synonyms-- intimacy; proximity; adjacency;
office --synonyms-- commission; job; place;
flourish --synonyms-- embellishment; ornamentation; quirk;
mouth --synonyms-- box; cavity; door;
division --synonyms-- distribution; analysis; apportionment;
single --synonyms-- individual; lone; original;
hard --synonyms-- solid; strong; tough;
hindrance --synonyms-- barrier; deterrent; drawback;
connote --synonyms-- hint at; signify; betoken;
unreal --synonyms-- dreamlike; false; fanciful;
nagging --synonyms-- aching; agonizing; excruciating;
borrowing --synonyms-- financing; renting; accepting a loan;
lilac --synonyms-- lavender; plum; violet;
hobble --synonyms-- falter; halt; shuffle;
anyhow --synonyms-- anyway; about; any which way;
pocket --synonyms-- pocket-size; pocket-sized; portable;
outline --synonyms-- blueprint; draft; drawing;
alacrity --synonyms-- alertness; avidity; briskness;
password --synonyms-- identification; countersign; key;
moron --synonyms-- boob; idiot; airhead;
lash --synonyms-- batter; buffet; chastise;
confusion --synonyms-- bewilderment; disorientation; distraction;
zillion --synonyms-- endless; myriad; uncounted;
width --synonyms-- diameter; girth; scope;
handicap --synonyms-- disadvantage; liability; drawback;
affect --synonyms-- alter; change; disturb;
their --synonyms-- my; your; his;
song --synonyms-- air; anthem; aria;
any --synonyms-- all; each; either;
chain --synonyms-- conglomerate; group; string;
junk --synonyms-- clutter; debris; rubbish;
govern --synonyms-- administer; carry out; conduct;
armpit --synonyms-- axilla; oxter; armpits;
weak --synonyms-- anemic; feeble; fragile;
readiness --synonyms-- fitness; good will; keenness;
affability --synonyms-- agreeability; agreeableness; amenity;
bossy --synonyms-- imperious; overbearing; pushy;
deal --synonyms-- accord; arrangement; compromise;
aversion --synonyms-- allergy; animosity; antagonism;
charging --synonyms-- grumbling; protesting; whining;
kidding --synonyms-- irritating; joking; mocking;
uninvited --synonyms-- rejected; unsolicited; unwelcome;
scaffolding --synonyms-- scaffold; arena; boards;
heartbreak --synonyms-- agony; anguish; bitterness;
furry --synonyms-- fuzzy; shaggy; woolly;
compulsion --synonyms-- coercion; obsession; preoccupation;
quarrel --synonyms-- altercation; argument; bickering;
fishy --synonyms-- dubious; odd; ambiguous;
sequel --synonyms-- conclusion; ending; sequence;
pansy --synonyms-- mama's boy; sissy; milksop;
educational --synonyms-- academic; cultural; informational;
rug --synonyms-- carpeting; mat; tapestry;
nameless --synonyms-- unheard-of; unnamed; incognito;
plaice --synonyms-- NO SYNONYMS;
highness --synonyms-- height; length; loftiness;
loaf --synonyms-- bun; cake; cube;
lion --synonyms-- cougar; wildcat; cat;
yacht --synonyms-- racer; sailboat; sloop;
mute --synonyms-- silent; speechless; aphasic;
analysis --synonyms-- inquiry; investigation; reasoning;
variable --synonyms-- fickle; fluctuating; volatile;
agriculture --synonyms-- cultivation; culture; horticulture;
pillow --synonyms-- cushion; padding; bolster;
warehouse --synonyms-- barn; bin; depository;
fascinating --synonyms-- alluring; appealing; captivating;
